ZIPCode,Date,Densite
49228,2013,19.89
49228,2018,18.66
49231,1968,29.86
49231,1975,43.08
49231,1982,84.58
49231,1990,95.31
49231,1999,102.49
49231,2008,100.3
49231,2013,114.59
49231,2018,110.58
49235,1968,52.29
49235,1975,55.81
49235,1982,47.71
49235,1990,66.97
49235,1999,70.34
49235,2008,72.17
49235,2013,73.7
49235,2018,65.9
49236,1968,47.25
49236,1975,37.68
49236,1982,31.57
49236,1990,25.25
49236,1999,27.49
49236,2008,26.48
49236,2013,25.66
49236,2018,25.25
49237,1968,42.64
49237,1975,31.13
49237,1982,29.43
49237,1990,26.98
49237,1999,25.47
49237,2008,29.43
49237,2013,29.81
49237,2018,25.47
49240,1968,32.9
49240,1975,31.9
49240,1982,35.51
49240,1990,36.87
49240,1999,36.6
49240,2008,42.96
49240,2013,46.44
49240,2018,45.26
49241,1968,85.34
49241,1975,126.59
49241,1982,169.04
49241,1990,187.96
49241,1999,220.24
49241,2008,248.14
49241,2013,255.47
49241,2018,268.05
49244,1968,72.94
49244,1975,75.2
49244,1982,79.95
49244,1990,81.0
49244,1999,82.76
49244,2008,90.74
49244,2013,95.12
49244,2018,93.91
49246,1968,367.01
49246,1975,490.49
49246,1982,549.31
49246,1990,564.3
49246,1999,582.46
49246,2008,584.86
49246,2013,619.54
49246,2018,655.29
49247,1968,82.57
49247,1975,82.73
49247,1982,100.44
49247,1990,106.86
49247,1999,115.9
49247,2008,127.02
49247,2013,131.59
49247,2018,133.17
49248,1968,49.72
49248,1975,46.84
49248,1982,46.38
49248,1990,45.06
49248,1999,43.44
49248,2008,43.45
49248,2013,44.04
49248,2018,44.33
49253,1968,102.18
49253,1975,93.52
49253,1982,91.77
49253,1990,82.42
49253,1999,77.06
49253,2008,82.04
49253,2013,75.94
49253,2018,74.06
49257,1968,92.87
49257,1975,90.84
49257,1982,95.36
49257,1990,101.55
49257,1999,102.97
49257,2008,114.74
49257,2013,116.17
49257,2018,121.17
49259,1968,58.2
49259,1975,58.27
49259,1982,65.25
49259,1990,67.52
49259,1999,71.62
49259,2008,77.95
49259,2013,82.37
49259,2018,84.14
49260,1968,65.79
49260,1975,74.2
49260,1982,90.02
49260,1990,100.63
49260,1999,99.62
49260,2008,106.84
49260,2013,111.86
49260,2018,120.09
49261,1968,46.85
49261,1975,46.79
49261,1982,49.49
49261,1990,52.77
49261,1999,53.34
49261,2008,55.75
49261,2013,58.8
49261,2018,59.76
49262,1968,33.41
49262,1975,32.15
49262,1982,43.76
49262,1990,50.79
49262,1999,47.31
49262,2008,53.79
49262,2013,53.79
49262,2018,51.97
49266,1968,20.42
49266,1975,19.13
49266,1982,26.32
49266,1990,28.45
49266,1999,30.28
49266,2008,36.84
49266,2013,42.96
49266,2018,44.79
49267,1968,290.88
49267,1975,409.12
49267,1982,626.13
49267,1990,642.59
49267,1999,674.35
49267,2008,611.25
49267,2013,622.57
49267,2018,631.21
49269,1968,47.31
49269,1975,59.86
49269,1982,86.67
49269,1990,104.92
49269,1999,114.99
49269,2008,122.44
49269,2013,118.8
49269,2018,127.17
49271,1968,27.2
49271,1975,27.11
49271,1982,36.11
49271,1990,39.72
