,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,latitude,longitude,result_score,moy_vf_10_plus_proches,moy_dist_10_plus_proches,densite_pop,prix_m2
132,15/03/2022,Vente,290000.0,0,1,166.0,5.0,8269.0,47.137204,-0.601175,0.81,1595000.0,199.9486265706817,22.31,35.07074616035796
133,28/02/2022,Vente,316000.0,0,1,85.0,4.0,439.0,47.490494,-0.531926,0.71,1738000.0,40.161158015675376,24.31,719.8177676537586
134,07/03/2022,Vente,205000.0,0,1,97.0,4.0,500.0,47.539339,-0.419153,0.77,1127500.0,65.25226670023869,103.91,410.0
135,07/03/2022,Vente,205000.0,0,1,97.0,4.0,1030.0,47.539339,-0.419153,0.77,1127500.0,65.25226670023869,103.91,199.02912621359224
136,08/03/2022,Vente,135000.0,0,1,65.0,3.0,797.0,47.437752,-0.70337,0.7,742500.0,91.29731667218401,42.85,169.38519447929735
137,07/03/2022,Vente,95000.0,0,1,68.0,4.0,582.0,47.127282,-0.155782,0.71,522500.0,16.72533852648158,120.09,163.23024054982818
138,23/03/2022,Vente,323000.0,0,1,82.0,3.0,1205.0,47.664846,-0.578896,0.82,1776500.0,89.73433946014373,69.03,268.0497925311203
139,21/03/2022,Vente,520000.0,0,1,95.0,3.0,125.0,47.466426,-0.536608,0.82,2860000.0,20.254047320790974,24.31,4160.0
140,16/03/2022,Vente,190000.0,0,1,96.0,4.0,83.0,47.555088,-0.230226,0.74,1045000.0,35.97935598731434,103.91,2289.156626506024
141,16/03/2022,Vente,200000.0,0,1,36.0,1.0,305.0,47.383813,-0.658115,0.8,1100000.0,15.703666696662596,42.85,655.7377049180328
142,23/03/2022,Vente,210000.0,0,1,130.0,3.0,281.0,47.410372,-0.761002,0.85,1155000.0,38.24012573838919,42.85,747.3309608540925
143,31/03/2022,Vente,450000.0,0,2,40.0,2.0,369.0,47.478667,-0.528963,0.67,2475000.0,15.659724784600957,24.31,1219.5121951219512
144,31/03/2022,Vente,450000.0,0,2,79.0,3.0,369.0,47.478667,-0.528963,0.67,2475000.0,15.659724784600957,24.31,1219.5121951219512
145,31/03/2022,Vente,450000.0,0,2,34.0,1.0,369.0,47.478667,-0.528963,0.67,2475000.0,15.659724784600957,24.31,1219.5121951219512
146,31/03/2022,Vente,450000.0,0,2,67.0,2.0,369.0,47.478667,-0.528963,0.67,2475000.0,15.659724784600957,24.31,1219.5121951219512
147,31/03/2022,Vente,450000.0,0,2,37.0,2.0,369.0,47.478667,-0.528963,0.67,2475000.0,15.659724784600957,24.31,1219.5121951219512
148,07/04/2022,Vente,292000.0,0,1,82.0,4.0,185.0,47.485953,-0.520291,0.83,1606000.0,26.174172402097728,24.31,1578.3783783783783
149,05/04/2022,Vente,310000.0,0,2,28.0,1.0,173.0,47.475384,-0.539757,0.83,1705000.0,4.7109128468670685,24.31,1791.907514450867
150,05/04/2022,Vente,310000.0,0,2,20.0,1.0,173.0,47.475384,-0.539757,0.83,1705000.0,4.7109128468670685,24.31,1791.907514450867
151,05/04/2022,Vente,310000.0,0,2,20.0,1.0,173.0,47.475384,-0.539757,0.83,1705000.0,4.7109128468670685,24.31,1791.907514450867
152,05/04/2022,Vente,310000.0,0,2,18.0,1.0,173.0,47.475384,-0.539757,0.83,1705000.0,4.7109128468670685,24.31,1791.907514450867
153,05/04/2022,Vente,310000.0,0,2,24.0,1.0,173.0,47.475384,-0.539757,0.83,1705000.0,4.7109128468670685,24.31,1791.907514450867
154,05/04/2022,Vente,310000.0,0,2,18.0,1.0,173.0,47.475384,-0.539757,0.83,1705000.0,4.7109128468670685,24.31,1791.907514450867
155,22/03/2022,Vente,80000.0,0,1,104.0,4.0,88.0,47.264058,-0.644317,0.6,440000.0,148.1582711696213,88.97,909.0909090909091
156,22/03/2022,Vente,80000.0,0,1,104.0,4.0,539.0,47.264058,-0.644317,0.6,440000.0,148.1582711696213,88.97,148.4230055658627
157,30/03/2022,Vente,90000.0,0,1,50.0,3.0,570.0,47.267515,-0.826964,0.66,495000.0,179.22708962521975,88.97,157.89473684210526
158,30/03/2022,Vente,90000.0,0,1,70.0,4.0,570.0,47.267515,-0.826964,0.66,495000.0,179.22708962521975,88.97,157.89473684210526
159,11/04/2022,Vente,71000.0,0,1,76.0,3.0,57.0,47.144198,-0.697727,0.74,390500.0,102.56686793198945,88.97,1245.6140350877192
160,31/03/2022,Vente,140000.0,0,1,141.0,5.0,900.0,47.655944,-0.463399,0.73,770000.0,65.10890297351698,69.03,155.55555555555554
161,31/03/2022,Vente,140000.0,0,1,141.0,5.0,587.0,47.655944,-0.463399,0.73,770000.0,65.10890297351698,69.03,238.5008517887564
162,11/04/2022,Vente,230000.0,0,1,125.0,4.0,2479.0,47.183257,-0.469166,0.63,1265000.0,165.55602093578008,22.31,92.77934651068979
163,11/04/2022,Vente,400000.0,0,1,253.0,7.0,664.0,47.157117,-0.446694,0.81,2200000.0,197.79871422693117,22.31,602.4096385542168
164,19/04/2022,Vente,725000.0,0,3,113.0,0.0,186.0,47.473056,-0.550932,0.81,3987500.0,3.7666704440019747,24.31,3897.8494623655915
165,19/04/2022,Vente,725000.0,0,2,50.0,2.0,186.0,47.473056,-0.550932,0.81,3987500.0,3.7666704440019747,24.31,3897.8494623655915
166,19/04/2022,Vente,725000.0,0,2,80.0,3.0,186.0,47.473056,-0.550932,0.81,3987500.0,3.7666704440019747,24.31,3897.8494623655915
167,19/04/2022,Vente,725000.0,0,2,22.0,1.0,186.0,47.473056,-0.550932,0.81,3987500.0,3.7666704440019747,24.31,3897.8494623655915
168,19/04/2022,Vente,725000.0,0,2,72.0,3.0,186.0,47.473056,-0.550932,0.81,3987500.0,3.7666704440019747,24.31,3897.8494623655915
169,07/04/2022,Vente,665000.0,0,1,148.0,4.0,1400.0,47.486707,-0.288631,0.47,3657500.0,33.57763137346004,103.91,475.0
170,07/04/2022,Vente,665000.0,0,1,148.0,4.0,2915.0,47.486707,-0.288631,0.47,3657500.0,33.57763137346004,103.91,228.1303602058319
171,07/04/2022,Vente,665000.0,0,1,76.0,3.0,520.0,47.486707,-0.288631,0.47,3657500.0,33.57763137346004,103.91,1278.8461538461538
172,07/04/2022,Vente,665000.0,0,1,99.0,3.0,520.0,47.486707,-0.288631,0.47,3657500.0,33.57763137346004,103.91,1278.8461538461538
173,07/04/2022,Vente,665000.0,0,1,80.0,3.0,520.0,47.486707,-0.288631,0.47,3657500.0,33.57763137346004,103.91,1278.8461538461538
174,08/04/2022,Vente,350000.0,0,1,185.0,5.0,2700.0,47.454364,-0.800874,0.61,1925000.0,50.468237345763825,42.85,129.62962962962962
175,08/04/2022,Vente,350000.0,0,1,185.0,5.0,500.0,47.454364,-0.800874,0.61,1925000.0,50.468237345763825,42.85,700.0
176,29/03/2022,Vente,298000.0,0,1,76.0,2.0,193.0,47.453171,-0.659014,0.73,1639000.0,156.47676135183391,42.85,1544.041450777202
177,31/03/2022,Vente,176000.0,0,1,83.0,4.0,163.0,47.462296,-0.706544,0.6,968000.0,70.99631719801931,42.85,1079.7546012269938
178,12/04/2022,Vente,62500.0,0,1,136.0,5.0,1077.0,47.17696,-0.505409,0.49,343750.0,143.35808568527293,22.31,58.03156917363045
